FIPStxt,year,rate_domestic_migration
4023,2020,-5.53324793
4025,2020,19.85987564
4027,2020,1.6784242558
5000,2020,0.8345033801
5001,2020,-13.00692946
5003,2020,-15.78058434
5005,2020,15.702044138
5007,2020,17.493430442
5009,2020,3.0474357432
5011,2020,-5.184945141
5013,2020,-5.376344086
5015,2020,9.3843511518
5017,2020,-27.52918288
5019,2020,0.6273385163
5021,2020,-11.59855359
5023,2020,3.6062749184
5025,2020,-3.134599712
5027,2020,-5.101715452
5029,2020,0.6719301193
5031,2020,9.5278076916
5033,2020,-3.585078493
5035,2020,-12.2718495
5037,2020,-12.22427305
5039,2020,-18.78398418
5041,2020,-9.445513381
5043,2020,-7.33302323
5045,2020,1.8475382747
5047,2020,-1.916626737
5049,2020,18.721000605
5051,2020,7.3203194321
5053,2020,5.8718617094
5055,2020,-1.919174093
5057,2020,-9.209338918
5059,2020,3.5289058909
5061,2020,-7.47057048
5063,2020,-0.449777096
5065,2020,8.3054647018
5067,2020,-0.717017208
5069,2020,-17.99971829
5071,2020,-5.635178541
5073,2020,-3.006840562
5075,2020,1.9489615689
5077,2020,-8.97213032
5079,2020,-8.623321123
5081,2020,0.4886789379
5083,2020,-7.232434688
5085,2020,-3.29925017
5087,2020,9.2294614124
5089,2020,10.312059714
5091,2020,-2.840023551
5093,2020,-15.9243836
5095,2020,-19.58618658
5097,2020,14.863656683
5099,2020,-6.15942029
5101,2020,-2.829036199
5103,2020,-6.255052976
5105,2020,9.215262779
5107,2020,-15.68255386
5109,2020,7.4822297045
5111,2020,-14.67394742
5113,2020,1.0504464397
5115,2020,4.6370999326
5117,2020,2.3538156591
5119,2020,-3.610481368
5121,2020,0.7236695613
5123,2020,-20.11761678
5125,2020,9.8311780577
5127,2020,-4.655674103
5129,2020,-1.391436342
5131,2020,-1.519203436
5133,2020,-7.631795233
5135,2020,11.459173097
5137,2020,9.2147435897
5139,2020,-9.920201488
5141,2020,0.5424954792
5143,2020,3.3711785253
5145,2020,4.5820764443
5147,2020,-17.51916158
5149,2020,-6.214517674
6000,2020,-5.15142925
6001,2020,-6.965670437
6003,2020,31.559963931
6005,2020,11.395075609
6007,2020,-50.04838441
6009,2020,7.0521707804
6011,2020,0.4654951705
6013,2020,-3.03553099
6015,2020,1.9081221198
6017,2020,11.001358225
6019,2020,-0.349564125
6021,2020,11.958836054
6023,2020,-4.59893599
6025,2020,-11.0272428
6027,2020,3.1679866611
6029,2020,-0.324421949
6031,2020,1.2946812915
6033,2020,3.3410254617
6035,2020,-4.3470445
6037,2020,-10.024157
6039,2020,-2.953448183
6041,2020,-5.462035766
6043,2020,-10.34442903
6045,2020,-7.579672696
6047,2020,5.0051555639
6049,2020,7.3691967576
6051,2020,-8.319755954
6053,2020,-6.566737057
6055,2020,-7.123923727
6057,2020,4.6671986269
6059,2020,-6.725165764
6061,2020,14.385468325
6063,2020,6.711409396
6065,2020,5.3576495499
6067,2020,2.2363113287
6069,2020,14.902434118
6071,2020,-0.420535571
6073,2020,-5.914399033
6075,2020,-6.916177943
6077,2020,6.3936027
6079,2020,-0.865013725
6081,2020,-11.66321664
6083,2020,-4.312552464
6085,2020,-14.72518574
6087,2020,-4.89531198
6089,2020,2.8572302099
6091,2020,6.6644451849
6093,2020,3.0543467028
6095,2020,0.6201251892
6097,2020,-9.132116591
6099,2020,-1.235909449
6101,2020,0.9828314858
6103,2020,15.708509551
6105,2020,-19.23386448
6107,2020,-4.211503421
6109,2020,4.2621595554
6111,2020,-6.130515162
6113,2020,-5.955271914
6115,2020,6.9387101936
8000,2020,5.4733514509
8001,2020,2.4942285728
8003,2020,-5.726424679
8005,2020,-1.780818672
8007,2020,18.372419756
8009,2020,0.8374040475
8011,2020,-37.76899429
8013,2020,-0.129065565
8014,2020,11.317056421
8015,2020,17.377528034
8017,2020,-20.59620596
8019,2020,5.8019063407
8021,2020,1.2205541316
8023,2020,16.365761787
8025,2020,18.13945748
8027,2020,28.194361128
8029,2020,12.41014731
8031,2020,5.913503238
8033,2020,-3.40218712
8035,2020,16.146528885
8037,2020,-6.613972926
8039,2020,13.011012219
8041,2020,4.3267257339
8043,2020,1.4614083801
8045,2020,-1.569780064
8047,2020,18.939700526
8049,2020,10.881741079
8051,2020,13.052643738
8053,2020,15.970515971
8055,2020,7.835171213
8057,2020,-8.611410118
8059,2020,2.8547509922
8061,2020,14.362657092
8063,2020,-10.52188552
8065,2020,27.546484693
8067,2020,-3.003910416
8069,2020,13.109860803
8071,2020,1.6543737506
8073,2020,12.912355178
8075,2020,5.1480627616
8077,2020,7.4879297828
8079,2020,-7.787151201
8081,2020,-0.604549233
8083,2020,2.5222126684
8085,2020,12.781884092
8087,2020,-2.420595812
8089,2020,-2.676425606
8091,2020,28.852056476
8093,2020,16.430291678
8095,2020,-6.549707602
8097,2020,-21.26290462
8099,2020,2.8040080821
8101,2020,5.7645468459
8103,2020,-5.847953216
8105,2020,-1.508563315
8107,2020,0.5474630951
8109,2020,-4.976580796
8111,2020,-49.59785523
8113,2020,-9.658292072
8115,2020,-3.536693192
8117,2020,-3.396519376
8119,2020,11.880952852
8121,2020,4.2874642711
8123,2020,21.204210184
8125,2020,-1.702894921
9000,2020,-6.181756071
9001,2020,-8.562483078
9003,2020,-5.815165611
9005,2020,-3.10988634
9007,2020,-2.20715265
9009,2020,-6.540758812
9011,2020,-5.21175335
9013,2020,-3.337646395
9015,2020,-3.28428291
10000,2020,7.1790899851
10001,2020,10.085549056
10003,2020,-0.36011728
10005,2020,23.079544621
11000,2020,-3.130826777
11001,2020,-3.130826777
12000,2020,6.2688933449
12001,2020,-4.841102522
12003,2020,27.865121693
12005,2020,-66.93540567
12007,2020,18.122352689
12009,2020,14.215487681
12011,2020,-6.234090003
12013,2020,-28.55347668
12015,2020,30.361810685
12017,2020,24.342585399
12019,2020,13.213530655
12021,2020,14.375516804
12023,2020,14.962698625
12027,2020,11.941249055
12029,2020,13.846199755
12031,2020,3.0769924785
12033,2020,8.6072432193
12035,2020,31.140223449
12037,2020,38.485777908
12039,2020,-6.61665957
12041,2020,17.251668204
12043,2020,12.583190894
12045,2020,-165.2509653
12047,2020,9.2018124782
12049,2020,-13.89890029
12051,2020,3.0231051609
12053,2020,23.562946357
12055,2020,17.039696146
12057,2020,6.2813644987
12059,2020,11.674347158
12061,2020,21.4878118
12063,2020,-33.98006898
12065,2020,-3.920607694
12067,2020,-29.68503477
12069,2020,30.841155065
12071,2020,19.727916582
12073,2020,1.6369380715
12075,2020,20.534379898
12077,2020,-7.389309338
12079,2020,0.0540058866
12081,2020,22.451231132
12083,2020,22.455257155
12085,2020,5.9799466653
12086,2020,-16.63317865
12087,2020,-10.06812766
12089,2020,32.229421234
12091,2020,14.178589898
12093,2020,8.5419102384
12095,2020,-2.402169087
12097,2020,10.859881726
12099,2020,4.505233172
12101,2020,28.476620645
12103,2020,5.4936875466
12105,2020,23.247592872
12107,2020,9.4908591583
12109,2020,40.996285338
12111,2020,23.603330857
12113,2020,26.330553783
12115,2020,23.125997737
12117,2020,3.9151101976
12119,2020,40.353987723
12121,2020,8.1493521152
12123,2020,2.8760959317
12125,2020,-1.046949125
12127,2020,16.327310269
12129,2020,38.184786552
12131,2020,44.916196488
12133,2020,28.448653165
13000,2020,4.702640796
13001,2020,-8.344169918
13003,2020,-18.99312108
13005,2020,-1.255830642
13007,2020,-17.96211626
13009,2020,0.9355891427
13011,2020,9.998429566
13013,2020,23.757572803
13015,2020,9.8077677521
13017,2020,-5.966231132
13019,2020,6.2074851926
13021,2020,-1.261182375
13023,2020,2.1794971589
13025,2020,6.195201344
13027,2020,1.0990431859
13029,2020,33.184872435
13031,2020,24.673254702
13033,2020,-4.283610727
13035,2020,29.596156978
13037,2020,-27.26837825
13039,2020,11.909487892
13043,2020,-2.773925104
13045,2020,12.555202131
13047,2020,3.0231179609
13049,2020,29.11329862
13051,2020,-3.435903463
13053,2020,4.9286278886
13055,2020,0.5245002118
13057,2020,13.891516656
13059,2020,1.6040751333
13061,2020,-11.89227002
13063,2020,1.4033808408
13065,2020,-2.722940776
13067,2020,-2.788530092
13069,2020,0.8571958113
13071,2020,0.6369776509
13073,2020,11.79570837
13075,2020,5.6328213467
13077,2020,12.29851922
13079,2020,8.5698116258
13081,2020,-9.957989731
13083,2020,-4.514114337
13085,2020,36.576558993
13087,2020,-7.323933028
13089,2020,-6.855091424
13091,2020,-8.019711097
13093,2020,-21.18159342
13095,2020,-18.07446544
