county_fips,sh050m,sh100m,sh500m
1001,0.20641094,0.35084003,0.29131502
1003,-0.099280976,-0.6415338,-0.20927942
1005,0.3592569,0.51623565,0.6667608
1007,1.5820246,1.260516,0.91705805
1009,1.5820246,1.260516,0.91705805
1011,1.0470637,0.92972475,0.79190946
1013,1.0470637,0.92972475,0.79190946
1015,0.7413718,1.0124226,0.79190946
1017,1.2763326,1.3432139,1.0422066
1019,1.4291786,1.5086095,1.0422066
1021,1.1234866,1.1778182,0.91705805
1023,0.20641094,0.5989335,0.79190946
1025,-0.099280976,0.35084003,0.91705805
1027,1.0470637,1.3432139,1.0422066
1029,1.4291786,1.5086095,1.1673553
1031,-0.099280976,-0.39344034,-0.45957664
1033,0.9706407,1.1778182,0.91705805
1035,0.05356498,0.5989335,0.5416122
1037,0.51210284,1.0951204,0.79190946
1039,0.6649488,0.76432914,0.79190946
1041,1.0470637,1.0951204,0.91705805
1043,1.4291786,1.1778182,0.79190946
1045,-0.099280976,-0.39344034,-0.5847252
1047,-0.022858,0.84702694,0.79190946
1049,1.3527557,1.3432139,1.0422066
1051,0.6649488,0.6816313,0.5416122
1053,0.8177948,0.84702694,0.79190946
1055,1.0470637,1.1778182,0.91705805
1057,1.1999097,1.260516,0.91705805
1059,1.1234866,1.260516,0.91705805
1061,1.0470637,0.76432914,0.6667608
1063,0.9706407,1.0124226,0.79190946
1065,1.0470637,1.0124226,0.79190946
1067,0.8177948,0.6816313,0.79190946
1069,0.2828339,0.26814222,0.4164636
1071,1.2763326,1.3432139,1.0422066
1073,0.8177948,0.43353784,0.5416122
1075,1.3527557,1.260516,1.0422066
1077,0.58852583,0.6816313,0.91705805
1079,1.8877165,1.5913073,1.1673553
1081,-0.7106648,-0.6415338,0.16616641
1083,0.8177948,0.5989335,0.5416122
1085,1.5056015,1.3432139,0.91705805
1087,0.20641094,-0.14534688,0.041017797
1089,-0.17570396,-0.3107425,-0.08413081
1091,-0.48139587,0.10274658,0.6667608
1093,0.8942177,1.1778182,1.0422066
1095,1.1234866,1.0951204,0.79190946
1097,0.8942177,0.43353784,0.4164636
1099,0.05356498,0.76432914,0.91705805
1101,0.43567988,0.26814222,0.4164636
1103,0.8177948,0.92972475,0.6667608
1105,0.43567988,0.6816313,0.5416122
1107,1.1999097,1.0951204,0.91705805
1109,-0.32854992,-0.14534688,0.6667608
1111,1.2763326,1.3432139,1.0422066
1113,0.12998796,-0.14534688,-0.08413081
1115,1.1234866,0.92972475,0.79190946
1117,0.12998796,0.020048764,0.29131502
1119,-1.1692027,-0.39344034,0.6667608
1121,1.2763326,1.1778182,0.91705805
1123,0.8942177,1.1778182,1.0422066
1125,0.12998796,-0.22804469,0.041017797
1127,1.3527557,1.260516,0.91705805
1129,1.2763326,1.1778182,1.0422066
1131,-0.099280976,0.43353784,0.79190946
1133,1.3527557,1.4259117,1.0422066
4001,-1.5513176,-1.882001,-0.334428
4003,-1.8570095,-2.791677,-3.7134404
4005,-2.2391243,-2.9570727,-1.4607655
4007,-1.5513176,-1.7993033,-0.83502245
4009,-0.9399338,-1.1377207,-0.45957664
4011,-1.0163567,-1.4685119,-0.83502245
4012,-2.0098555,-2.2127924,-2.3368058
4013,-0.32854992,-0.8896272,-2.587103
4015,-1.3220487,-1.9646989,-1.9613599
4017,-1.1692027,-1.7993033,-0.45957664
4019,-0.48139587,-0.558836,-2.0865085
4021,-2.2391243,-0.9723251,-2.7122514
4023,-0.40497288,0.6816313,0.29131502
4025,-1.7041636,-1.3858142,-2.7122514
4027,-0.25212693,-0.39344034,-1.4607655
5001,-0.099280976,0.5989335,0.79190946
5003,-0.022858,-0.22804469,0.79190946
5005,-0.48139587,-0.7242316,-0.08413081
5007,-0.48139587,-0.8069294,-0.83502245
5009,0.05356498,0.1854444,0.29131502
5011,-0.099280976,0.51623565,0.5416122
5013,0.12998796,0.5989335,0.79190946
5015,0.12998796,-0.22804469,-0.20927942
5017,-1.0927798,-1.3858142,0.4164636
5019,-0.7870878,0.10274658,0.5416122
5021,0.9706407,0.6816313,0.91705805
5023,-0.25212693,0.1854444,0.4164636
5025,0.20641094,0.92972475,0.91705805
5027,-0.022858,0.020048764,0.79190946
5029,0.9706407,0.84702694,0.6667608
5031,0.05356498,0.020048764,0.79190946
5033,0.7413718,0.51623565,0.4164636
5035,0.9706407,0.51623565,0.79190946
5037,0.3592569,0.92972475,0.91705805
5039,0.05356498,0.76432914,0.79190946
5041,-1.0163567,0.020048764,0.6667608
5043,-0.40497288,0.020048764,0.6667608
5045,-0.099280976,-0.3107425,0.4164636
5047,1.0470637,0.84702694,0.5416122
5049,-0.022858,0.020048764,0.4164636
5051,-0.022858,-0.14534688,0.041017797
5053,0.8177948,0.76432914,0.79190946
5055,1.0470637,0.76432914,0.91705805
5057,0.7413718,0.43353784,0.6667608
5059,0.8177948,0.76432914,0.5416122
5061,-0.022858,0.35084003,0.79190946
5063,0.20641094,0.5989335,0.5416122
5065,0.05356498,0.26814222,0.29131502
5067,0.51210284,0.84702694,0.79190946
5069,0.58852583,0.35084003,0.5416122
5071,0.20641094,0.51623565,0.29131502
5073,0.6649488,0.35084003,0.5416122
5075,0.8942177,0.6816313,0.91705805
5077,-0.8635108,0.35084003,0.5416122
5079,0.20641094,0.76432914,0.79190946
5081,0.6649488,0.26814222,0.79190946
5083,0.8177948,0.92972475,0.5416122
5085,0.3592569,0.020048764,0.16616641
5087,1.0470637,0.6816313,0.4164636
5089,-0.55781883,-0.6415338,-0.45957664
5091,0.51210284,0.26814222,0.6667608
5093,0.8177948,0.43353784,0.6667608
5095,-0.7106648,0.6816313,0.6667608
5097,0.12998796,0.35084003,0.4164636
