county_fips,rate_domestic_migration
0,
1000,-0.44401573
1001,4.8316637453
1003,20.402396843
1005,-18.89074469
1007,-1.328844791
1009,-1.773604591
1011,-2.982346433
1013,-7.666650072
1015,-4.356844672
1017,-6.170561403
1019,5.4757281553
1021,1.0506360916
1023,-11.26503273
1025,-14.19307476
1027,1.7159056998
1029,-0.80639742
1031,-0.097880879
1033,0.9916080577
1035,-11.99459846
1037,-5.884245851
1039,-3.202647522
1041,5.1141684074
1043,7.2467739676
1045,-5.814012378
1047,-19.82324479
1049,-1.800395243
1051,2.0731015079
1053,-3.167589438
1055,-0.048578354
1057,-5.351934815
1059,0.538605329
1061,-1.656470588
1063,-1.765744556
1065,-12.80032168
1067,1.2875662072
1069,-2.9739349
1071,-0.307151839
1073,-3.996069043
1075,4.6670256686
1077,1.0817593734
1079,3.6466652602
1081,4.6247967557
1083,10.183719064
1085,-9.418390135
1087,-9.177182188
1089,5.8249472317
1091,-12.67465832
1093,-2.063949134
1095,2.1613301142
1097,-3.286685548
1099,-6.286836935
1101,-7.142715684
1103,-4.499229843
1105,-11.7880242
1107,-21.94593806
1109,-7.437275986
1111,-0.753913699
1113,-15.02191764
1115,6.8794146746
1117,4.9495408587
1119,-21.85458297
1121,-5.900544285
1123,1.1823970637
1125,2.2371854262
1127,-3.39862819
1129,-10.58201058
1131,-4.323827047
1133,2.0904320923
2000,-7.011712332
2013,-31.7695962
2016,-37.43687968
2020,-14.5831512
2050,-14.39808767
2060,-4.429678848
2068,38.114343029
2070,-19.28098012
2090,-5.342813915
2100,3.9627501486
2105,-12.22666353
2110,-14.05569994
2122,1.8026988978
2130,-7.661716954
2150,-22.69503546
2158,-23.45038168
2164,-15.64945227
2170,19.992104532
2180,-7.855380432
2185,-20.73709065
2188,-27.54963461
2195,-2.763703363
2198,-1.688800184
2220,-11.30524152
2230,31.531531532
2240,-5.560026337
2261,-7.620887672
2275,11.315417256
2282,-48.11547715
2290,-12.67450404
4000,9.0510697022
4001,0.0140456343
4003,-9.455064647
4005,3.58665421
4007,11.05949179
4009,-9.832555804
4011,-2.705515088
4012,8.3183343873
4013,10.596214424
4015,11.175991375
4017,1.8694616043
4019,2.7277977698
4021,21.798550571
4023,-11.98596974
4025,21.451344919
4027,-2.196720437
5000,0.3582460088
5001,-10.30588751
5003,-14.21388513
5005,7.8279789471
5007,19.173732339
5009,4.0334507516
5011,-2.914655251
5013,-6.767862322
5015,-4.073319756
5017,-5.029951072
5019,2.2165576859
5021,-5.484702306
5023,-1.266624446
5025,0.483997822
5027,-4.528364596
5029,-1.674240612
5031,5.9794000637
5033,2.6738183253
5035,-0.976353928
5037,-14.11901984
5039,-13.79864693
5041,-10.61251776
5043,-3.336382715
5045,1.8155902517
5047,-2.768048808
5049,0.9902215621
5051,7.0679667102
5053,3.8802660754
5055,7.5480175222
5057,-6.256091756
5059,-0.448196011
5061,-0.824402308
5063,0.1348581292
5065,4.5227062095
5067,-3.867578723
5069,-21.32429944
5071,-3.408590414
5073,-16.40523816
5075,0.0599970001
5077,-34.40475564
5079,-9.567297239
5081,4.2728152209
5083,-0.828328847
5085,1.5087802629
5087,21.623660307
5089,14.421159216
5091,-2.948402948
5093,-22.71756571
5095,-30.01978577
5097,-4.676279018
5099,-14.09451617
5101,1.6566840831
5103,-9.931924931
5105,-0.776963046
5107,-27.46398591
5109,-1.015556479
5111,-0.541937635
5113,-1.140335655
5115,-0.611740716
5117,-0.48335448
5119,-5.082979256
5121,2.9242280898
5123,-15.32133288
5125,8.1778795621
5127,-19.71952329
5129,20.375877998
5131,-3.666051733
5133,-22.55133935
5135,16.087535118
5137,13.737698333
5139,-6.302757456
5141,-4.122233175
5143,6.6414081198
5145,-1.507932485
5147,-10.97249361
5149,-1.860119048
6000,-3.134244634
6001,-3.756519579
6003,-24.48210923
6005,13.806070373
6007,5.8377064379
6009,10.278334644
6011,5.3830130831
6013,3.1092027893
6015,6.0470570989
6017,6.5093308505
6019,-3.299563586
6021,-0.935369561
6023,7.5610187478
6025,-8.526492832
6027,-11.71246184
6029,-5.038457226
6031,-15.54094441
6033,-3.651599916
6035,-18.94251093
6037,-7.838989053
6039,-5.814029109
6041,-5.300319477
6043,-8.153258453
6045,0.4472682233
6047,-4.93275978
6049,-8.880501748
6051,1.3403880071
6053,-2.924216748
6055,-2.697886419
6057,3.7755138191
6059,-4.454991285
6061,13.948155321
6063,15.798554944
6065,7.191862201
6067,2.6465548027
6069,9.7921509524
6071,-1.300569223
