FIPStxt,year,rate_natural_increase_population
8005,2020,5.2828406274
8007,2020,2.4496559674
8009,2020,-2.512212142
8011,2020,-3.689064559
8013,2020,2.0711950242
8014,2020,3.4051320204
8015,2020,-2.178379583
8017,2020,2.1680216802
8019,2020,1.6576875259
8021,2020,1.586720371
8023,2020,0.7793219899
8025,2020,-0.832085206
8027,2020,-1.399720056
8029,2020,-3.577990523
8031,2020,6.0645275709
8033,2020,0.4860267315
8035,2020,5.701995122
8037,2020,7.8132097756
8039,2020,1.810227787
8041,2020,6.5159177154
8043,2020,-3.820539051
8045,2020,6.696614953
8047,2020,1.9425333873
8049,2020,2.7524403905
8051,2020,3.4653036472
8053,2020,-1.228501229
8055,2020,-6.964596634
8057,2020,4.3057050592
8059,2020,2.1044969641
8061,2020,5.026929982
8063,2020,0.5611672278
8065,2020,7.2622550554
8067,2020,1.8663348738
8069,2020,2.9453374206
8071,2020,-2.964086303
8073,2020,3.0069868223
8075,2020,0.9848467892
8077,2020,0.7553042216
8079,2020,3.8935756003
8081,2020,6.7256102169
8083,2020,-0.611445495
8085,2020,-0.141236288
8087,2020,6.846828155
8089,2020,-1.037797684
8091,2020,-2.864743196
8093,2020,0.9098207118
8095,2020,-3.50877193
8097,2020,4.1966259128
8099,2020,3.5462455156
8101,2020,-0.15483287
8103,2020,3.003003003
8105,2020,0.1774780371
8107,2020,2.8937335028
8109,2020,1.4637002342
8111,2020,0.0
8113,2020,4.5235038817
8115,2020,-8.399646331
8117,2020,6.3725173061
8119,2020,-0.871269876
8121,2020,-0.204164965
8123,2020,7.8334821924
8125,2020,4.2071521587
9000,2020,0.9578513192
9001,2020,2.8008221255
9003,2020,0.9538754694
9005,2020,-2.523324148
9007,2020,-1.869009486
9009,2020,0.7302562089
9011,2020,-0.071496977
9013,2020,0.5706512724
9015,2020,-0.068422561
10000,2020,1.2675048975
10001,2020,2.059411231
10003,2020,2.4222814057
10005,2020,-2.126769252
11000,2020,5.4231661285
11001,2020,5.4231661285
12000,2020,0.4682827282
12001,2020,2.5804340632
12003,2020,1.7024824974
12005,2020,1.291055424
12007,2020,-2.287634264
12009,2020,-3.692117496
12011,2020,2.9736706776
12013,2020,-2.234012846
12015,2020,-9.599768835
12017,2020,-11.0311799
12019,2020,1.4063792628
12021,2020,-1.852960872
12023,2020,-0.828919454
12027,2020,0.7164749433
12029,2020,-5.192324908
12031,2020,4.3621325352
12033,2020,0.8461999937
12035,2020,-5.088789696
12037,2020,-1.428511407
12039,2020,-0.043674321
12041,2020,-1.302012695
12043,2020,-4.727788486
12045,2020,-4.968944099
12047,2020,2.4398745207
12049,2020,5.3969134091
12051,2020,5.2784375825
12053,2020,-6.517521365
12055,2020,-7.32167044
12057,2020,3.8106807821
12059,2020,-2.662570405
12061,2020,-5.638421999
12063,2020,-2.835198781
12065,2020,-1.68026044
12067,2020,-1.636183019
12069,2020,-2.881860306
12071,2020,-1.56060764
12073,2020,3.5506861299
12075,2020,-3.450747865
12077,2020,-0.715094452
12079,2020,-3.348364972
12081,2020,-2.136302091
12083,2020,-4.600898928
12085,2020,-4.774011475
12086,2020,3.3506425317
12087,2020,-0.684632681
12089,2020,-1.386334863
12091,2020,3.6009117202
12093,2020,2.2667080241
12095,2020,5.7888455174
12097,2020,5.4635336674
12099,2020,-0.344336206
12101,2020,-2.342098209
12103,2020,-4.855101553
12105,2020,1.1261906392
12107,2020,-2.786677795
12109,2020,0.4281697095
12111,2020,-1.291770589
12113,2020,1.5346197003
12115,2020,-7.655181956
12117,2020,2.2171439271
12119,2020,-11.78682617
12121,2020,-2.641202763
12123,2020,-1.948323051
12125,2020,-4.907574023
12127,2020,-4.084101566
12129,2020,1.6023702987
12131,2020,0.8563358494
12133,2020,-1.909839653
13000,2020,3.9334447592
13001,2020,0.6501950585
13003,2020,7.4267973458
13005,2020,4.4851094367
13007,2020,2.6126714566
13009,2020,-1.537039306
13011,2020,3.1932157253
13013,2020,4.9124175677
13015,2020,2.671449121
13017,2020,-1.670544717
13019,2020,-0.051729043
13021,2020,2.1498911985
13023,2020,1.4789445007
13025,2020,0.2625085315
13027,2020,-3.232479959
13029,2020,7.2857400304
13031,2020,4.1950908511
13033,2020,1.9187006381
13035,2020,0.5292297671
13037,2020,0.6378568011
13039,2020,7.311871636
13043,2020,0.4623208507
13045,2020,3.7144573909
13047,2020,-0.029638411
13049,2020,0.152027669
13051,2020,3.384053813
13053,2020,19.993490491
13055,2020,-0.443807872
13057,2020,4.1545816453
13059,2020,4.1705953466
13061,2020,-4.547044421
13063,2020,7.6429221278
13065,2020,3.9331366765
13067,2020,5.8514283302
13069,2020,4.1933092392
13071,2020,2.943276042
13073,2020,4.729866695
13075,2020,0.1161406463
13077,2020,3.9659498756
13079,2020,-3.395585739
13081,2020,-1.467025273
13083,2020,-1.978789846
13085,2020,1.2491460915
13087,2020,1.132566963
13089,2020,7.6568333308
