county_fips,year,unemployment
0,2016,4.8688225746154785
1000,2016,5.9
1001,2016,5.1
1003,2016,5.4
1005,2016,8.4
1007,2016,6.5
1009,2016,5.4
1011,2016,6.9
1013,2016,6.9
1015,2016,6.6
1017,2016,5.5
1019,2016,5.1
1021,2016,5.5
1023,2016,8.5
1025,2016,10.9
1027,2016,6.0
1029,2016,6.0
1031,2016,5.9
1033,2016,7.0
1035,2016,8.4
1037,2016,6.0
1039,2016,6.8
1041,2016,5.9
1043,2016,5.0
1045,2016,5.8
1047,2016,9.2
1049,2016,6.1
1051,2016,4.8
1053,2016,6.7
1055,2016,5.9
1057,2016,6.8
1059,2016,5.9
1061,2016,5.8
1063,2016,10.0
1065,2016,7.7
1067,2016,6.5
1069,2016,5.8
1071,2016,6.3
1073,2016,5.7
1075,2016,5.7
1077,2016,6.4
1079,2016,6.9
1081,2016,5.2
1083,2016,5.3
1085,2016,10.6
1087,2016,7.6
1089,2016,5.1
1091,2016,7.2
1093,2016,6.6
1095,2016,5.3
1097,2016,6.6
1099,2016,9.1
1101,2016,5.7
1103,2016,5.5
1105,2016,10.3
1107,2016,6.9
1109,2016,6.5
1111,2016,5.6
1113,2016,5.6
1115,2016,5.2
1117,2016,4.3
1119,2016,7.7
1121,2016,6.6
1123,2016,5.6
1125,2016,5.7
1127,2016,7.5
1129,2016,8.6
1131,2016,14.5
1133,2016,7.1
2000,2016,6.6
2013,2016,2.5
2016,2016,3.2
2020,2016,5.3
2050,2016,13.7
2060,2016,6.8
2068,2016,8.7
2070,2016,9.3
2090,2016,5.6
2100,2016,9.8
2105,2016,11.3
2110,2016,4.3
2122,2016,8.2
2130,2016,6.2
2150,2016,4.9
2158,2016,20.8
2164,2016,11.9
2170,2016,7.9
2180,2016,12.2
2185,2016,6.5
2188,2016,15.4
2195,2016,8.6
2198,2016,11.7
2201,2016,
2220,2016,4.4
2230,2016,10.7
2232,2016,
2240,2016,10.3
2261,2016,8.2
2275,2016,7.2
2280,2016,
2282,2016,8.2
2290,2016,17.2
4000,2016,5.5
4001,2016,11.6
4003,2016,6.3
4005,2016,6.1
4007,2016,7.3
4009,2016,6.8
4011,2016,7.7
4012,2016,6.1
4013,2016,4.7
4015,2016,6.7
4017,2016,8.4
4019,2016,5.0
4021,2016,5.6
4023,2016,10.2
4025,2016,5.0
4027,2016,19.1
