county_fips,streets_per_node_avg
1001,2.455156431054461
1003,2.501281366791244
1005,2.5263852242744065
1007,2.39880209633142
1009,2.3345195729537367
1011,2.409679618268575
1013,2.520200333889816
1015,2.6169149709302326
1017,2.5737989103516594
1019,2.390085756117967
1021,2.4833101529902644
1023,2.3490131578947366
1025,2.3629277566539924
1027,2.476793248945148
1029,2.413758048119281
1031,2.6910485933503843
1033,2.6519561815336465
1035,2.4588928922371442
1037,2.30002904443799
1039,2.651706308169597
1041,2.5106564364876385
1043,2.4763858093126387
1045,2.5705996131528046
1047,2.4776057506220623
1049,2.5141331249185876
1051,2.3976985331310066
1053,2.496560239901217
1055,2.6727432738244907
1057,2.5317031560989482
1059,2.589180503481521
1061,2.7591105620753558
1063,2.2666229937766134
1065,2.3735437805336344
1067,2.5202185792349727
1069,2.7881355932203387
1071,2.4256279139720256
1073,2.649292910183039
1075,2.5143082173798903
1077,2.5941411795070333
1079,2.4766509433962263
1081,2.453625456442358
1083,2.5851003940701816
1085,2.299334811529933
1087,2.375559284116331
1089,2.4764347060787233
1091,2.408270676691729
1093,2.5369272237196765
1095,2.5888860303576022
1097,2.508615250206281
1099,2.445527236381809
1101,2.6561052888130634
1103,2.7264219915192283
1105,2.3520309477756287
1107,2.3954869358669835
1109,2.46670397313934
1111,2.4806389157792843
1113,2.5504457050243112
1115,2.2914243417574283
1117,2.3304733727810647
1119,2.4033816425120773
1121,2.4592971749187917
1123,2.407061688311688
1125,2.4847607696237017
1127,2.43766846361186
1129,2.3336798336798337
1131,2.3755274261603376
1133,2.3379394432026013
2013,2.2322097378277155
2020,2.594742321707444
2050,2.3847736625514404
2060,2.2222222222222223
2068,2.2665534804753817
2070,2.3325415676959618
2090,2.4836454761276707
2100,2.2857142857142856
2105,2.206489675516224
2110,2.501110288675056
2122,2.250034046030233
2130,2.2531120331950207
2150,2.3699059561128526
2158,2.3886138613861387
2164,2.2071005917159763
2170,2.29225
2180,2.6385696040868454
2185,2.450189155107188
2188,2.58852867830424
2195,2.4026402640264033
2198,2.2942830365510782
2220,2.2477558348294435
2230,3.093220338983051
2240,2.4051094890510947
2261,2.299917830731306
2275,2.2163934426229512
2282,2.1870503597122304
2290,2.429223744292237
4001,2.3060218978102194
4003,2.6029917726252805
4005,2.4879017154843064
4007,2.3167636171337915
4009,2.386681589255736
4011,2.4525240384615383
4012,2.5820166618787703
4013,2.7681971241064547
4015,2.6837293066426544
4017,2.445786794316541
4019,2.6590904731764393
4021,2.720114842526536
4023,2.4443221427261053
4025,2.4376047470217874
4027,2.7847016504443505
5001,2.602147913107152
5003,2.516460905349794
5005,2.3755642023346297
5007,2.4955776370386547
5009,2.4750051429746964
5011,2.5499707773232028
5013,2.595061728395062
5015,2.337916446324696
5017,2.594650205761317
5019,2.535724786827404
5021,2.7477732793522267
5023,2.3635781383432963
