county_fips,year,unemployment
0,2004,5.5279622077941895
1000,2004,5.6
1001,2004,4.7
1003,2004,5.1
1005,2004,7.1
1007,2004,5.4
1009,2004,4.1
1011,2004,11.4
1013,2004,9.4
1015,2004,5.4
1017,2004,6.9
1019,2004,4.7
1021,2004,4.6
1023,2004,8.5
1025,2004,8.8
1027,2004,6.3
1029,2004,5.2
1031,2004,5.3
1033,2004,7.0
1035,2004,8.4
1037,2004,7.0
1039,2004,6.6
1041,2004,6.8
1043,2004,5.1
1045,2004,5.3
1047,2004,9.9
1049,2004,5.7
1051,2004,4.8
1053,2004,7.5
1055,2004,6.3
1057,2004,6.8
1059,2004,6.9
1061,2004,4.9
1063,2004,8.6
1065,2004,7.4
1067,2004,5.5
1069,2004,4.6
1071,2004,6.7
1073,2004,5.2
1075,2004,8.1
1077,2004,6.3
1079,2004,6.3
1081,2004,4.4
1083,2004,5.1
1085,2004,9.1
1087,2004,6.9
1089,2004,4.6
1091,2004,6.0
1093,2004,6.3
1095,2004,4.8
1097,2004,6.5
1099,2004,7.4
1101,2004,5.7
1103,2004,6.0
1105,2004,10.0
1107,2004,7.5
1109,2004,5.3
1111,2004,6.6
1113,2004,6.5
1115,2004,4.9
1117,2004,3.3
1119,2004,9.4
1121,2004,6.7
1123,2004,6.1
1125,2004,4.7
1127,2004,6.0
1129,2004,9.4
1131,2004,11.9
1133,2004,7.2
2000,2004,7.4
2013,2004,8.6
2016,2004,6.5
2020,2004,5.9
2050,2004,12.6
2060,2004,6.3
2068,2004,7.9
2070,2004,10.9
2090,2004,6.4
2100,2004,9.9
2105,2004,
2110,2004,5.8
2122,2004,9.6
2130,2004,7.5
2150,2004,8.8
2158,2004,20.2
2164,2004,9.8
2170,2004,8.3
2180,2004,11.6
2185,2004,10.2
2188,2004,13.3
2195,2004,
2198,2004,
2201,2004,13.5
2220,2004,6.3
2230,2004,
2232,2004,13.2
2240,2004,12.0
2261,2004,9.9
2275,2004,
2280,2004,12.4
2282,2004,10.7
2290,2004,12.0
4000,2004,5.0
4001,2004,11.4
4003,2004,4.9
4005,2004,5.3
4007,2004,6.4
4009,2004,6.6
4011,2004,5.1
4012,2004,6.7
4013,2004,4.4
4015,2004,4.4
4017,2004,8.5
4019,2004,4.6
4021,2004,6.0
4023,2004,9.5
4025,2004,4.6
4027,2004,15.7
5000,2004,5.6
5001,2004,5.9
5003,2004,9.3
5005,2004,6.1
5007,2004,3.6
5009,2004,5.8
5011,2004,7.6
5013,2004,6.7
5015,2004,4.8
5017,2004,10.8
5019,2004,6.1
5021,2004,7.9
5023,2004,5.3
5025,2004,6.6
5027,2004,6.4
5029,2004,5.7
5031,2004,5.4
5033,2004,5.1
5035,2004,6.8
5037,2004,8.0
5039,2004,7.3
5041,2004,8.9
5043,2004,7.8
5045,2004,4.9
5047,2004,4.7
5049,2004,6.0
5051,2004,6.1
5053,2004,5.4
5055,2004,6.0
5057,2004,5.8
5059,2004,6.0
5061,2004,5.9
5063,2004,6.2
5065,2004,6.8
5067,2004,8.5
5069,2004,7.7
5071,2004,5.3
5073,2004,7.0
5075,2004,7.9
5077,2004,11.0
5079,2004,7.6
5081,2004,4.8
5083,2004,5.3
5085,2004,4.6
5087,2004,4.0
5089,2004,5.9
5091,2004,4.8
5093,2004,9.9
5095,2004,6.9
5097,2004,5.3
5099,2004,5.9
5101,2004,6.0
5103,2004,6.7
5105,2004,5.6
5107,2004,8.9
5109,2004,5.4
5111,2004,6.3
5113,2004,5.9
5115,2004,5.3
5117,2004,5.2
5119,2004,5.1
5121,2004,8.1
5123,2004,9.1
5125,2004,4.5
5127,2004,5.1
5129,2004,5.6
5131,2004,4.7
5133,2004,4.6
5135,2004,7.8
5137,2004,7.4
5139,2004,7.2
5141,2004,6.9
5143,2004,3.8
5145,2004,6.3
5147,2004,9.8
5149,2004,5.0
6000,2004,6.2
6001,2004,5.9
6003,2004,8.1
6005,2004,5.8
6007,2004,7.4
6009,2004,6.8
6011,2004,13.7
6013,2004,5.4
6015,2004,8.1
6017,2004,5.3
6019,2004,10.4
6021,2004,9.3
6023,2004,6.5
6025,2004,17.0
6027,2004,5.3
6029,2004,9.9
6031,2004,11.0
6033,2004,9.0
6035,2004,7.6
6037,2004,6.5
6039,2004,9.2
6041,2004,4.4
6043,2004,6.7
6045,2004,6.4
6047,2004,10.9
6049,2004,8.8
6051,2004,5.1
6053,2004,8.3
6055,2004,4.7
6057,2004,5.3
6059,2004,4.2
6061,2004,4.8
6063,2004,9.8
6065,2004,6.0
6067,2004,5.6
6069,2004,9.6
6071,2004,5.8
6073,2004,4.7
6075,2004,5.8
6077,2004,8.7
6079,2004,4.6
6081,2004,4.9
6083,2004,4.7
6085,2004,6.4
6087,2004,7.0
6089,2004,7.6
6091,2004,9.7
6093,2004,9.5
6095,2004,5.8
6097,2004,5.0
6099,2004,9.2
6101,2004,10.6
6103,2004,7.4
6105,2004,11.0
6107,2004,11.6
6109,2004,6.9
6111,2004,5.4
6113,2004,6.1
6115,2004,9.7
8000,2004,5.6
8001,2004,6.5
8003,2004,6.0
8005,2004,5.6
8007,2004,5.5
8009,2004,3.6
8011,2004,6.4
8013,2004,4.9
8014,2004,5.8
8015,2004,5.9
8017,2004,3.1
8019,2004,5.7
8021,2004,8.0
8023,2004,10.8
8025,2004,8.2
8027,2004,5.2
8029,2004,5.5
8031,2004,6.6
8033,2004,6.6
8035,2004,4.6
8037,2004,4.4
8039,2004,4.9
8041,2004,5.8
8043,2004,6.8
8045,2004,4.3
8047,2004,5.5
8049,2004,4.2
8051,2004,4.2
8053,2004,3.3
8055,2004,8.2
8057,2004,3.6
8059,2004,5.4
8061,2004,5.2
8063,2004,3.5
8065,2004,5.7
8067,2004,4.1
8069,2004,4.7
8071,2004,5.5
8073,2004,4.2
8075,2004,4.4
8077,2004,5.5
8079,2004,4.7
8081,2004,5.0
8083,2004,5.6
8085,2004,5.4
8087,2004,4.6
8089,2004,6.2
8091,2004,4.0
8093,2004,5.4
8095,2004,3.6
8097,2004,5.0
8099,2004,4.5
8101,2004,7.5
8103,2004,3.9
8105,2004,6.1
8107,2004,3.9
8109,2004,7.1
8111,2004,6.1
8113,2004,4.8
8115,2004,3.3
8117,2004,4.3
8119,2004,5.6
8121,2004,4.0
8123,2004,5.7
8125,2004,3.3
