county_fips,rate_domestic_migration
0,
1000,-0.023713794
1001,-5.971991541
1003,16.219674385
1005,-6.457530728
1007,-4.624328371
1009,-1.737015807
1011,-7.612424228
1013,-8.185670262
1015,-5.15889569
1017,3.5810205909
1019,2.040541321
1021,-3.89591044
1023,-0.441631091
1025,-17.73678609
1027,-16.37107776
1029,-4.29285307
1031,6.9104690653
1033,1.4297628977
1035,-9.755725773
1037,-9.022424667
1039,-3.71909001
1041,2.0137365601
1043,-1.169961852
1045,-4.899861569
1047,-12.87773129
1049,-9.120997267
1051,-1.960221243
1053,-3.647001719
1055,1.543276443
1057,-0.647115922
1059,-6.176535468
1061,8.2712369598
1063,-6.647512816
1065,-2.733930024
1067,-10.07819288
1069,5.0617170005
1071,-1.975671023
1073,-4.437116786
1075,-0.560636322
1077,1.6732426904
1079,-6.955804117
1081,18.722433096
1083,16.242198481
1085,-29.92133145
1087,-32.98959228
1089,3.2097553111
1091,-16.52207818
1093,-3.009683329
1095,-0.021259068
1097,-3.66194049
1099,-7.625008264
1101,-9.32186184
1103,-1.32430474
1105,-27.36137389
1107,-1.241497039
1109,-0.905797101
1111,-8.304253721
1113,37.845343207
1115,5.7960364119
1117,8.2634682498
1119,-4.455997029
1121,3.8412526142
1123,-8.24742268
1125,4.4848717741
1127,-4.747944442
1129,-12.98513087
1131,-11.52154793
1133,-3.91308825
2000,-1.816090229
2013,-9.156111705
2016,-0.355302896
2020,-7.681023867
2050,-3.59230221
2060,-50.77152812
2068,2.6455026455
2070,-12.32821342
2090,5.755149145
2100,-3.882741215
2105,9.5260776375
2110,-1.053528546
2122,3.6572761243
2130,-5.765792067
2150,-2.945084941
2158,-5.438653286
2164,-16.37355973
2170,11.650359759
2180,-14.18367347
2185,-2.493247455
2188,-16.61258923
2195,-3.368034293
2198,-0.93779306
2220,2.4579632423
2230,30.612244898
2240,-15.0816925
2261,-9.859299579
2275,8.3090984628
2282,-3.03030303
2290,-6.577193138
4000,4.5816500188
4001,-6.412253914
4003,-15.78943398
4005,4.9700282153
4007,-6.783546611
4009,-10.62839724
4011,13.372528676
4012,-4.182370821
4013,8.5785863115
4015,6.7116572574
4017,-9.140623182
4019,-0.689400045
4021,2.9436058777
4023,-15.04851304
4025,8.1364618447
4027,-14.42331415
5000,-0.43883831
5001,2.3258887274
5003,-9.58599611
5005,2.426330539
5007,13.152082808
5009,4.8105994437
5011,-13.04079655
5013,7.0335519437
5015,4.9374648296
5017,-20.51635705
5019,-8.318192763
5021,-4.685620211
5023,0.7746233394
5025,-9.257652028
5027,-13.80236961
5029,0.1419479997
5031,8.9416223954
5033,-1.487385516
5035,-15.46811937
5037,-6.307726966
5039,-8.245877061
5041,-13.34860393
5043,-0.906110919
5045,11.362716831
5047,-0.834074733
5049,-2.703920685
5051,4.4160132068
5053,3.946088648
5055,7.3495208857
5057,-10.08208423
5059,11.853141082
5061,-13.31344804
