county_fips,year,unemployment
0,2012,8.069576263427734
1000,2012,8.2
1001,2012,7.1
1003,2012,7.7
1005,2012,11.8
1007,2012,8.8
1009,2012,7.1
1011,2012,10.6
1013,2012,11.8
1015,2012,9.1
1017,2012,10.1
1019,2012,8.2
1021,2012,7.4
1023,2012,10.5
1025,2012,15.4
1027,2012,9.6
1029,2012,8.4
1031,2012,7.2
1033,2012,9.0
1035,2012,12.2
1037,2012,9.6
1039,2012,8.6
1041,2012,8.5
1043,2012,7.9
1045,2012,7.6
1047,2012,13.2
1049,2012,9.3
1051,2012,7.1
1053,2012,9.4
1055,2012,8.5
1057,2012,8.8
1059,2012,8.6
1061,2012,7.8
1063,2012,13.9
1065,2012,11.7
1067,2012,8.5
1069,2012,7.8
1071,2012,8.8
1073,2012,7.6
1075,2012,7.7
1077,2012,7.9
1079,2012,9.2
1081,2012,7.0
1083,2012,7.0
1085,2012,15.8
1087,2012,11.0
1089,2012,7.1
1091,2012,10.4
1093,2012,9.1
1095,2012,8.0
1097,2012,9.4
1099,2012,12.8
1101,2012,8.3
1103,2012,8.0
1105,2012,13.6
1107,2012,10.4
1109,2012,8.2
1111,2012,9.4
1113,2012,9.0
1115,2012,7.0
1117,2012,5.2
1119,2012,10.7
1121,2012,9.6
1123,2012,8.8
1125,2012,7.2
1127,2012,9.4
1129,2012,12.2
1131,2012,20.4
1133,2012,10.2
2000,2012,7.2
2013,2012,6.9
2016,2012,7.0
2020,2012,5.4
2050,2012,15.6
2060,2012,10.0
2068,2012,13.9
2070,2012,10.0
2090,2012,6.2
2100,2012,10.1
2105,2012,14.6
2110,2012,5.2
2122,2012,8.8
2130,2012,8.3
2150,2012,6.8
2158,2012,22.4
2164,2012,15.4
2170,2012,8.8
2180,2012,11.8
2185,2012,7.9
2188,2012,15.9
2195,2012,8.2
2198,2012,13.4
2201,2012,
2220,2012,5.7
2230,2012,14.2
2232,2012,
2240,2012,13.0
2261,2012,9.8
2275,2012,8.3
2280,2012,
2282,2012,9.8
2290,2012,17.6
4000,2012,8.3
4001,2012,19.0
4003,2012,9.0
4005,2012,8.6
4007,2012,10.2
4009,2012,8.5
4011,2012,8.2
4012,2012,8.6
4013,2012,7.3
4015,2012,11.0
4017,2012,14.1
4019,2012,7.4
4021,2012,8.5
4023,2012,15.5
4025,2012,8.6
4027,2012,23.9
5000,2012,7.3
5001,2012,8.4
5003,2012,11.5
5005,2012,8.1
5007,2012,5.8
5009,2012,7.3
5011,2012,10.4
5013,2012,8.6
5015,2012,6.1
5017,2012,10.9
5019,2012,9.5
5021,2012,10.6
5023,2012,8.2
5025,2012,7.1
5027,2012,8.7
5029,2012,8.8
5031,2012,6.6
5033,2012,7.7
5035,2012,9.2
5037,2012,7.6
5039,2012,10.7
5041,2012,9.5
5043,2012,10.1
5045,2012,6.3
5047,2012,6.8
5049,2012,6.9
5051,2012,7.6
5053,2012,6.5
5055,2012,8.3
5057,2012,7.0
5059,2012,6.9
5061,2012,6.4
5063,2012,8.8
5065,2012,8.4
5067,2012,10.4
5069,2012,9.6
5071,2012,7.1
5073,2012,9.0
5075,2012,8.7
5077,2012,9.1
5079,2012,8.4
5081,2012,7.0
5083,2012,7.7
5085,2012,6.1
5087,2012,5.6
5089,2012,7.9
5091,2012,5.7
5093,2012,10.5
5095,2012,8.6
5097,2012,8.1
5099,2012,7.4
5101,2012,7.1
5103,2012,10.0
5105,2012,8.7
5107,2012,11.1
5109,2012,8.6
5111,2012,8.3
5113,2012,7.1
5115,2012,7.0
5117,2012,7.3
5119,2012,6.6
5121,2012,10.4
5123,2012,10.4
5125,2012,5.9
5127,2012,6.4
5129,2012,7.9
5131,2012,7.5
5133,2012,8.3
5135,2012,9.8
5137,2012,7.9
5139,2012,8.9
5141,2012,9.8
5143,2012,5.4
5145,2012,7.5
5147,2012,9.8
5149,2012,6.4
6000,2012,10.5
6001,2012,8.8
6003,2012,11.2
6005,2012,12.5
6007,2012,12.3
6009,2012,12.6
6011,2012,21.0
6013,2012,9.1
6015,2012,13.7
6017,2012,10.4
6019,2012,15.4
6021,2012,14.4
6023,2012,9.7
6025,2012,27.7
6027,2012,9.2
6029,2012,13.4
6031,2012,15.1
6033,2012,13.0
6035,2012,12.7
6037,2012,11.0
6039,2012,14.7
6041,2012,6.4
6043,2012,12.4
6045,2012,10.2
6047,2012,16.6
6049,2012,14.6
6051,2012,10.5
6053,2012,11.8
6055,2012,8.6
6057,2012,9.9
6059,2012,8.0
6061,2012,9.5
6063,2012,16.4
6065,2012,11.8
6067,2012,10.7
6069,2012,13.3
6071,2012,11.6
6073,2012,9.3
6075,2012,6.9
