county_fips,year,unemployment
0,2020,8.052809715270996
1000,2020,5.9
1001,2020,4.9
1003,2020,5.6
1005,2020,7.0
1007,2020,6.6
1009,2020,4.1
1011,2020,5.5
1013,2020,8.8
1015,2020,7.1
1017,2020,6.8
1019,2020,4.6
1021,2020,5.0
1023,2020,6.7
1025,2020,9.0
1027,2020,4.0
1029,2020,4.6
1031,2020,4.4
1033,2020,6.6
1035,2020,7.3
1037,2020,5.5
1039,2020,4.9
1041,2020,5.7
1043,2020,4.3
1045,2020,4.9
1047,2020,10.7
1049,2020,4.5
1051,2020,4.9
1053,2020,6.0
1055,2020,7.7
1057,2020,5.0
1059,2020,4.4
1061,2020,4.1
1063,2020,10.9
1065,2020,9.4
1067,2020,4.8
1069,2020,5.4
1071,2020,5.3
1073,2020,6.2
1075,2020,4.9
1077,2020,5.5
1079,2020,4.9
1081,2020,5.2
1083,2020,4.3
1085,2020,13.3
1087,2020,9.6
1089,2020,4.6
1091,2020,6.2
1093,2020,5.1
1095,2020,4.2
1097,2020,7.9
1099,2020,8.2
1101,2020,7.8
1103,2020,4.5
1105,2020,10.9
1107,2020,6.5
1109,2020,4.9
1111,2020,4.7
1113,2020,5.1
1115,2020,4.9
1117,2020,3.9
1119,2020,7.0
1121,2020,7.0
1123,2020,6.9
1125,2020,6.6
1127,2020,5.8
1129,2020,8.0
1131,2020,14.7
1133,2020,4.7
2000,2020,7.8
2013,2020,4.0
2016,2020,4.5
2020,2020,7.4
2050,2020,11.6
2060,2020,7.4
2068,2020,15.7
2070,2020,8.2
2090,2020,6.4
2100,2020,15.6
2105,2020,13.5
2110,2020,6.6
2122,2020,9.1
2130,2020,9.6
2150,2020,6.2
2158,2020,19.4
2164,2020,9.4
2170,2020,8.3
2180,2020,10.5
2185,2020,5.9
2188,2020,12.0
2195,2020,8.7
2198,2020,9.2
2201,2020,
2220,2020,6.9
2230,2020,21.5
2232,2020,
2240,2020,7.4
2261,2020,8.7
2275,2020,8.4
2280,2020,
2282,2020,8.5
2290,2020,12.1
4000,2020,7.9
4001,2020,12.8
4003,2020,7.0
4005,2020,9.7
4007,2020,7.7
4009,2020,6.3
4011,2020,5.5
4012,2020,7.1
4013,2020,7.4
4015,2020,10.0
4017,2020,10.1
4019,2020,7.7
4021,2020,7.5
4023,2020,11.4
4025,2020,7.5
4027,2020,17.1
5000,2020,6.1
5001,2020,4.0
5003,2020,9.3
5005,2020,5.9
5007,2020,4.5
5009,2020,5.3
5011,2020,5.8
5013,2020,5.2
5015,2020,5.7
5017,2020,10.3
5019,2020,5.9
5021,2020,6.0
5023,2020,7.6
5025,2020,6.1
5027,2020,6.8
5029,2020,6.0
5031,2020,5.3
5033,2020,5.4
5035,2020,8.3
5037,2020,6.1
5039,2020,5.3
5041,2020,7.0
5043,2020,6.9
5045,2020,5.4
5047,2020,5.6
5049,2020,5.1
5051,2020,8.0
5053,2020,5.2
5055,2020,6.0
5057,2020,5.2
5059,2020,5.8
5061,2020,5.0
5063,2020,5.8
5065,2020,8.4
5067,2020,7.1
5069,2020,8.0
5071,2020,6.3
5073,2020,7.6
5075,2020,6.1
5077,2020,7.5
5079,2020,6.0
5081,2020,6.4
5083,2020,6.6
5085,2020,5.5
5087,2020,3.9
5089,2020,6.4
5091,2020,6.9
5093,2020,9.0
5095,2020,6.7
5097,2020,6.8
5099,2020,5.9
5101,2020,5.0
5103,2020,6.0
5105,2020,5.5
5107,2020,9.1
5109,2020,5.9
5111,2020,5.5
5113,2020,6.6
5115,2020,5.9
5117,2020,5.3
5119,2020,7.4
5121,2020,5.9
5123,2020,7.9
5125,2020,5.1
5127,2020,4.5
5129,2020,6.4
5131,2020,6.0
5133,2020,5.8
5135,2020,7.1
5137,2020,7.1
5139,2020,8.3
5141,2020,7.1
5143,2020,4.6
5145,2020,6.2
5147,2020,5.8
5149,2020,5.1
6000,2020,10.1
6001,2020,8.8
6003,2020,11.2
6005,2020,9.1
6007,2020,9.2
6009,2020,7.6
6011,2020,16.0
6013,2020,8.9
6015,2020,9.5
6017,2020,8.3
6019,2020,11.3
