county_fips,year,unemployment
0,2000,3.9948527812957764
1000,2000,4.6
1001,2000,4.1
1003,2000,3.7
1005,2000,5.6
1007,2000,5.4
1009,2000,3.5
1011,2000,8.5
1013,2000,7.9
1015,2000,5.1
1017,2000,4.4
1019,2000,4.5
1021,2000,4.3
1023,2000,6.6
1025,2000,7.4
1027,2000,6.2
1029,2000,4.1
1031,2000,5.9
1033,2000,5.6
1035,2000,6.6
1037,2000,5.5
1039,2000,7.0
1041,2000,5.8
1043,2000,4.2
1045,2000,5.3
1047,2000,8.1
1049,2000,4.1
1051,2000,4.0
1053,2000,5.3
1055,2000,5.9
1057,2000,5.9
1059,2000,6.6
1061,2000,5.1
1063,2000,6.9
1065,2000,6.1
1067,2000,5.0
1069,2000,4.4
1071,2000,5.2
1073,2000,4.0
1075,2000,7.0
1077,2000,5.0
1079,2000,5.0
1081,2000,4.0
1083,2000,3.8
1085,2000,7.0
1087,2000,5.8
1089,2000,3.6
1091,2000,5.3
1093,2000,6.7
1095,2000,4.8
1097,2000,5.0
1099,2000,6.5
1101,2000,4.2
1103,2000,4.3
1105,2000,9.3
1107,2000,7.6
1109,2000,5.6
1111,2000,4.9
1113,2000,4.7
1115,2000,3.8
1117,2000,2.8
1119,2000,9.2
1121,2000,5.2
1123,2000,4.9
1125,2000,4.0
1127,2000,5.9
1129,2000,6.9
1131,2000,8.8
1133,2000,7.9
2000,2000,6.3
2013,2000,8.7
2016,2000,5.1
2020,2000,5.0
2050,2000,8.9
2060,2000,6.4
2068,2000,7.2
2070,2000,7.3
2090,2000,6.1
2100,2000,8.0
2105,2000,
2110,2000,4.6
2122,2000,8.2
2130,2000,6.2
2150,2000,8.3
2158,2000,15.2
2164,2000,5.2
2170,2000,7.3
2180,2000,9.6
2185,2000,8.4
2188,2000,9.0
2195,2000,
2198,2000,
2201,2000,14.1
2220,2000,4.8
2230,2000,
2232,2000,9.8
2240,2000,12.3
2261,2000,7.6
2275,2000,
2280,2000,9.7
2282,2000,6.8
2290,2000,11.5
4000,2000,4.0
4001,2000,9.0
4003,2000,4.5
4005,2000,4.4
4007,2000,5.3
4009,2000,5.5
4011,2000,4.2
4012,2000,6.4
4013,2000,3.2
4015,2000,4.5
4017,2000,7.3
4019,2000,3.7
4021,2000,4.6
4023,2000,8.2
4025,2000,4.0
4027,2000,16.4
5000,2000,4.2
5001,2000,4.5
5003,2000,5.8
5005,2000,4.1
5007,2000,2.8
5009,2000,4.1
5011,2000,6.4
5013,2000,5.4
5015,2000,3.9
5017,2000,7.2
5019,2000,4.2
5021,2000,5.3
5023,2000,4.5
5025,2000,4.9
5027,2000,5.1
5029,2000,6.0
5031,2000,3.9
5033,2000,3.5
5035,2000,4.1
5037,2000,4.6
5039,2000,5.5
5041,2000,8.0
5043,2000,5.9
5045,2000,3.6
5047,2000,3.3
5049,2000,3.8
5051,2000,4.2
5053,2000,3.9
5055,2000,4.7
5057,2000,4.5
5059,2000,4.2
5061,2000,4.2
5063,2000,4.8
5065,2000,4.6
5067,2000,7.4
5069,2000,5.7
5071,2000,4.1
5073,2000,5.8
5075,2000,5.2
5077,2000,7.4
5079,2000,6.1
5081,2000,4.5
5083,2000,4.1
5085,2000,3.3
5087,2000,3.1
5089,2000,3.8
5091,2000,4.4
5093,2000,7.7
5095,2000,5.0
5097,2000,4.0
5099,2000,4.7
5101,2000,4.3
5103,2000,5.8
5105,2000,4.9
5107,2000,6.1
5109,2000,4.1
5111,2000,4.7
5113,2000,4.0
5115,2000,4.2
5117,2000,4.3
5119,2000,3.7
5121,2000,5.2
5123,2000,6.9
5125,2000,3.2
5127,2000,3.4
5129,2000,4.9
5131,2000,3.3
5133,2000,3.8
5135,2000,5.1
5137,2000,4.3
5139,2000,4.7
5141,2000,5.3
5143,2000,2.9
5145,2000,4.7
5147,2000,6.1
5149,2000,3.9
6000,2000,4.9
6001,2000,3.6
6003,2000,6.3
6005,2000,5.1
6007,2000,6.1
6009,2000,5.5
6011,2000,11.4
6013,2000,3.5
6015,2000,7.3
6017,2000,4.1
6019,2000,10.3
6021,2000,8.4
6023,2000,5.7
6025,2000,17.3
6027,2000,4.6
6029,2000,8.2
6031,2000,9.9
6033,2000,7.2
6035,2000,7.1
6037,2000,5.4
6039,2000,8.6
6041,2000,2.8
6043,2000,6.1
6045,2000,5.5
6047,2000,9.5
6049,2000,7.4
6051,2000,4.6
6053,2000,7.3
6055,2000,3.6
6057,2000,4.1
6059,2000,3.5
6061,2000,3.6
6063,2000,7.0
6065,2000,5.3
6067,2000,4.3
6069,2000,5.9
6071,2000,4.7
6073,2000,3.9
6075,2000,3.4
6077,2000,6.9
6079,2000,4.0
6081,2000,2.8
6083,2000,4.3
6085,2000,3.1
6087,2000,5.1
6089,2000,6.0
6091,2000,5.8
6093,2000,7.4
6095,2000,4.6
6097,2000,3.3
6099,2000,7.7
6101,2000,9.3
6103,2000,6.4
6105,2000,9.7
6107,2000,10.3
6109,2000,5.8
6111,2000,4.5
6113,2000,5.0
6115,2000,7.9
8000,2000,2.7
8001,2000,2.7
8003,2000,3.6
8005,2000,2.4
8007,2000,3.2
8009,2000,2.9
8011,2000,3.9
8013,2000,2.4
8014,2000,2.4
8015,2000,3.3
8017,2000,2.5
8019,2000,2.7
8021,2000,5.0
8023,2000,7.4
8025,2000,5.3
8027,2000,3.4
8029,2000,3.7
8031,2000,3.0
8033,2000,5.5
8035,2000,2.0
8037,2000,2.4
8039,2000,2.2
8041,2000,2.9
8043,2000,3.9
8045,2000,2.7
8047,2000,2.5
8049,2000,2.5
8051,2000,2.7
8053,2000,2.0
8055,2000,5.5
8057,2000,2.8
8059,2000,2.3
8061,2000,3.1
8063,2000,2.5
8065,2000,3.3
8067,2000,2.9
8069,2000,2.5
8071,2000,4.1
8073,2000,2.7
8075,2000,2.8
8077,2000,3.3
8079,2000,3.6
8081,2000,3.5
8083,2000,4.1
8085,2000,3.6
8087,2000,3.0
8089,2000,4.3
8091,2000,2.6
8093,2000,2.5
8095,2000,2.6
8097,2000,2.7
8099,2000,2.9
8101,2000,3.9
8103,2000,2.9
8105,2000,4.5
8107,2000,2.5
8109,2000,5.5
8111,2000,4.5
8113,2000,3.0
8115,2000,2.6
8117,2000,2.2
8119,2000,2.9
8121,2000,2.5
8123,2000,2.7
8125,2000,2.6
9000,2000,2.1
9001,2000,1.9
9003,2000,2.3
9005,2000,1.8
9007,2000,1.9
9009,2000,2.3
9011,2000,2.1
9013,2000,1.7
9015,2000,2.3
10000,2000,3.6
10001,2000,3.9
10003,2000,3.5
10005,2000,3.7
11000,2000,5.7
11001,2000,5.7
12000,2000,3.8
12001,2000,3.0
12003,2000,3.0
12005,2000,4.7
12007,2000,3.8
12009,2000,3.7
12011,2000,3.7
12013,2000,4.8
12015,2000,3.7
12017,2000,4.7
12019,2000,3.1
12021,2000,3.8
12023,2000,4.0
12027,2000,4.5
12029,2000,4.5
12031,2000,3.4
12033,2000,4.1
12035,2000,3.6
12037,2000,4.0
12039,2000,4.0
12041,2000,3.6
12043,2000,4.8
12045,2000,6.1
12047,2000,5.4
12049,2000,6.0
12051,2000,7.3
12053,2000,4.4
12055,2000,4.8
12057,2000,3.3
12059,2000,4.9
12061,2000,5.2
12063,2000,4.6
12065,2000,3.7
12067,2000,4.1
12069,2000,3.6
12071,2000,3.3
12073,2000,3.1
12075,2000,3.9
12077,2000,4.2
12079,2000,4.1
12081,2000,3.2
12083,2000,4.1
12085,2000,4.2
12086,2000,4.5
12087,2000,2.9
12089,2000,3.3
12091,2000,3.7
12093,2000,5.4
12095,2000,3.1
12097,2000,3.3
12099,2000,4.3
12101,2000,3.7
12103,2000,3.3
12105,2000,4.2
12107,2000,4.3
12109,2000,3.0
12111,2000,5.8
12113,2000,3.9
12115,2000,3.2
12117,2000,3.1
12119,2000,4.3
12121,2000,3.6
12123,2000,5.0
12125,2000,4.4
12127,2000,3.4
12129,2000,3.2
12131,2000,3.5
12133,2000,4.6
13000,2000,3.5
13001,2000,5.4
13003,2000,5.3
13005,2000,4.5
13007,2000,4.3
13009,2000,4.8
13011,2000,3.0
13013,2000,3.0
13015,2000,3.7
13017,2000,4.8
13019,2000,4.0
13021,2000,4.3
13023,2000,4.2
13025,2000,4.2
13027,2000,4.6
13029,2000,3.1
13031,2000,3.8
13033,2000,5.0
13035,2000,4.6
13037,2000,6.5
13039,2000,3.6
13043,2000,4.6
13045,2000,3.7
13047,2000,2.7
13049,2000,4.1
13051,2000,3.6
13053,2000,8.1
13055,2000,3.7
13057,2000,2.6
13059,2000,3.4
13061,2000,5.5
13063,2000,3.3
13065,2000,5.3
13067,2000,2.8
13069,2000,4.6
13071,2000,4.6
13073,2000,2.9
13075,2000,4.5
13077,2000,3.3
13079,2000,4.0
13081,2000,4.6
13083,2000,3.0
13085,2000,2.7
13087,2000,4.5
13089,2000,3.3
13091,2000,4.7
13093,2000,4.8
13095,2000,5.2
13097,2000,2.9
13099,2000,5.0
13101,2000,3.4
13103,2000,3.1
13105,2000,5.2
13107,2000,5.6
13109,2000,4.3
13111,2000,3.9
13113,2000,2.6
13115,2000,3.8
13117,2000,2.4
13119,2000,3.9
13121,2000,3.4
13123,2000,3.3
13125,2000,4.1
13127,2000,3.5
13129,2000,3.3
13131,2000,4.4
13133,2000,4.4
13135,2000,2.7
13137,2000,3.5
13139,2000,2.9
13141,2000,7.8
13143,2000,3.5
13145,2000,3.1
13147,2000,4.0
13149,2000,3.9
13151,2000,2.7
13153,2000,3.4
13155,2000,4.6
13157,2000,3.2
13159,2000,3.2
13161,2000,4.6
13163,2000,6.6
13165,2000,5.2
13167,2000,6.0
13169,2000,3.8
13171,2000,4.4
13173,2000,4.9
13175,2000,4.5
13177,2000,3.4
13179,2000,5.2
13181,2000,5.7
13183,2000,3.6
