county_fips,rate_international_migration
0,
1000,0.5662420464
1001,-0.287247985
1003,0.3627385856
1005,0.5246377981
1007,0.4468175421
1009,0.1038089224
1011,-0.09864365
1013,0.9212108805
1015,0.1228414994
1017,0.1794956173
1019,-0.114920513
1021,0.7901479834
1023,-0.157344033
1025,-0.21034918
1027,-0.150778393
1029,-0.735294118
1031,0.652015495
1033,1.3243230986
1035,0.0821051767
1037,1.2203135267
1039,-0.135131483
1041,0.2174149364
1043,0.4067326212
1045,0.3661699639
1047,0.1324678765
1049,0.6157290792
1051,0.3082234003
1053,-0.027338464
1055,0.3611887992
1057,0.3053714844
1059,0.9256303862
1061,-0.266276128
1063,0.0
1065,-0.204081633
1067,-0.058176741
1069,0.1044376507
1071,-0.13559716
1073,0.6980262549
1075,-0.072236067
1077,0.377698521
1079,-0.091095422
1081,1.8464463525
1083,0.3280503557
1085,-0.101522843
1087,0.0549616642
1089,0.6216947128
1091,0.1582320209
1093,0.1009098707
1095,0.6737706277
1097,0.6431972222
1099,-0.095705228
1101,1.4172498289
1103,0.9460737938
1105,0.2223086756
1107,0.7015785517
1109,2.3810959069
1111,-0.264032212
1113,-0.846688842
1115,0.2581861859
1117,0.6323782268
1119,2.1547424285
1121,0.3997127065
1123,0.0494425354
1125,1.0582415951
1127,-0.015724507
1129,0.8555365436
1131,0.0
1133,0.0845272812
2000,0.8986257435
2013,12.774806892
2016,9.4021642718
2020,1.2583812861
2050,0.1092746893
2060,1.1655011655
2068,3.8750302737
2070,0.2018774604
2090,0.1637548999
2100,0.0
2105,1.8591680223
2110,0.6248925966
2122,0.3410961124
2130,1.7292935115
2150,2.5144772935
2158,0.8414978662
2164,1.8820577164
2170,0.14853875
2180,0.1994316199
2185,0.1016156895
2188,0.9141364675
2195,0.6144393241
2198,0.3183952877
2220,1.8771631372
2230,0.0
2240,1.7353579176
2261,-0.653487992
2275,1.9841269841
2282,1.7021276596
2290,0.3777504958
4000,1.0780826504
4001,0.5152557479
4003,0.5231182604
4005,0.1748257861
4007,0.1669464566
4009,0.7809246147
4011,0.8445054365
4012,3.2268014331
4013,1.2421497877
4015,-1.167334562
4017,0.3978911768
4019,1.1555628498
4021,1.0708062379
4023,1.205688265
4025,-0.308436378
4027,2.567001803
5000,0.0889252111
5001,-0.170396456
5003,-0.201668809
5005,-0.023936043
5007,0.3880980836
5009,-0.294050817
5011,-0.46294153
5013,-0.192012289
5015,0.8853161464
5017,-0.194552529
5019,0.089619788
5021,0.0
5023,-0.240418328
5025,-0.125383988
5027,0.3826286589
5029,-0.239975043
5031,0.4289338712
5033,0.0789664866
5035,-0.145351855
5037,0.1210324064
5039,-0.282465928
5041,-0.087458457
5043,-0.27362027
5045,0.3265046089
5047,-0.056371375
5049,0.4034698406
5051,-0.272243285
5053,-0.329263273
5055,-0.154416306
5057,-0.601615105
5059,-0.029654671
5061,-0.150920616
5063,-0.185202334
5065,0.1469993753
5067,-0.119502868
5069,0.0889607164
5071,-0.150271428
5073,-0.150342028
5075,-0.182715147
5077,0.0
5079,0.0763125763
5081,-0.244339469
5083,0.4636176082
5085,-0.163599182
5087,-0.303600704
5089,-0.239815342
5091,-0.646509426
5093,-0.464054123
5095,0.0
5097,0.4470272687
5099,-0.362318841
5101,0.0
5103,0.0
5105,0.0959923206
5107,-0.223239201
5109,0.1870557426
5111,-0.168666062
5113,-0.150063777
5115,0.1723246597
5117,-0.247770069
5119,0.3903912716
5121,-0.334001336
5123,0.0792032157
5125,-0.073918632
5127,-0.484966052
5129,0.2529884258
5131,-0.399378223
5133,-1.291534578
5135,0.1151675688
5137,-0.641025641
5139,-0.025700004
5141,0.6630500301
5143,0.6893681773
5145,-0.343655733
5147,0.0
5149,-0.093451394
6000,1.8747480731
6001,5.1167061354
6003,0.9017132552
6005,0.4295261316
6007,0.4582614982
6009,0.327500191
6011,-1.536134063
6013,2.5312005625
6015,0.5400345622
6017,0.3910435388
6019,0.4811529187
6021,-1.100070972
6023,-0.125091059
6025,0.1819495063
6027,1.0004168404
6029,0.0903030168
6031,-0.486326983
6033,-0.404030986
6035,0.2287918158
6037,2.0931722164
6039,-0.884761417
6041,1.6663837929
6043,0.520110957
6045,-0.689061154
6047,-0.521898915
6049,0.566861289
6051,4.4372031754
6053,-0.207370644
6055,-0.094021328
6057,-0.030110959
6059,1.9453167004
6061,0.1998333036
6063,-0.159795462
6065,0.1232625523
6067,1.9684198675
6069,-0.611546972
6071,0.0745369393
6073,2.0182275957
6075,5.1048520495
6077,0.9071468515
6079,-0.024714678
6081,4.7028048779
6083,1.2395226157
6085,6.9473282267
6087,0.2157008266
6089,1.0728510321
6091,0.0
6093,0.0459300256
6095,0.6268413465
6097,0.1953717047
6099,0.2621074531
6101,1.0345594587
6103,-0.449257176
6105,-0.08047642
6107,-0.580156083
6109,0.3674275479
6111,0.1652748166
6113,3.8899908765
6115,0.0
8000,1.8380749104
8001,2.3406478579
8003,-0.246297836
8005,3.8321994945
8007,0.6484383443
8009,0.8374040475
8011,0.3513394818
8013,2.8824642919
8014,1.5022641266
8015,0.4455776419
8017,3.2520325203
8019,2.3829258185
8021,0.3661662395
8023,2.5977399662
8025,0.0
8027,-0.199960008
8029,0.0644682977
8031,3.1063904076
8033,0.0
8035,1.6192628896
8037,2.1440901245
8039,1.2822446825
8041,0.734384555
8043,-0.104386313
8045,0.9017885473
8047,0.0
8049,0.6401024164
8051,0.4042854255
8053,0.0
8055,0.5803830528
8057,0.7176175099
8059,1.0255766072
8061,0.0
8063,1.1223344557
8065,0.0
8067,-0.195520796
8069,1.5178946208
8071,1.240780313
8073,0.7075263111
8075,0.2685945789
8077,-0.084646163
8079,0.0
8081,1.4358044283
8083,-0.649660839
8085,0.3530907208
8087,5.9131697702
8089,0.3823465152
8091,0.204624514
8093,-0.374632058
8095,5.3801169591
8097,5.2038161318
8099,1.4020040411
8101,0.3870821746
8103,1.7385806859
8105,1.0648682226
8107,1.6814937922
8109,1.3173302108
8111,0.0
8113,5.0125313283
8115,-0.442086649
8117,3.267128162
8119,-0.118809529
8121,-0.204164965
8123,1.1356046469
8125,4.7080036061
9000,3.4533650693
9001,5.0198616756
9003,3.8715462646
9005,1.4553382693
9007,1.4570896325
9009,3.20144322
9011,1.2267376117
9013,2.9793304801
9015,1.0006799492
10000,0.0752871095
10001,0.3450905306
10003,0.1236223498
10005,-0.250208147
11000,3.7007139934
11001,3.7007139934
12000,4.1513921592
12001,2.9671273522
12003,0.1737227038
12005,1.5348598817
12007,0.0714885708
12009,0.716705161
12011,6.6967863889
12013,0.0
12015,0.8561666742
12017,-0.121073926
12019,0.7813218127
12021,4.9953938066
12023,0.0561979291
12027,4.0865607876
12029,-0.179045686
12031,2.106580599
12033,0.6441223833
12035,0.1848868229
12037,0.1680601655
12039,0.8953235721
12041,0.1627515868
12043,1.0910281122
12045,-0.134295786
12047,-0.139421401
12049,-0.073930321
12051,8.1815782528
12053,0.2600766706
12055,2.4437140665
12057,3.6020543886
12059,-0.153609831
12061,1.2929267447
12063,0.613587796
12065,0.4200651101
12067,-0.584351078
12069,0.594055576
12071,2.8628625872
12073,1.4353110439
12075,-0.024301041
12077,-0.595912043
12079,0.8100882996
12081,1.7802517426
12083,0.0413998104
12085,0.441347415
12086,13.997585328
12087,3.6647984696
12089,-0.171859694
12091,0.3639219292
12093,1.4554651523
12095,5.2310060714
12097,3.2464085933
12099,5.2006177915
12101,0.9496476332
12103,1.3716252219
12105,0.9403552111
12107,-0.323093078
12109,0.3201629359
12111,1.8590397736
12113,-0.374029174
12115,1.6835819368
12117,1.7788218072
12119,-0.436549118
12121,-0.112871913
12123,0.1855545762
12125,0.0
12127,0.7640635446
12129,-0.060466804
12131,0.0690593427
12133,0.3580949349
13000,1.4248963748
13001,0.1083658431
13003,-0.121750776
13005,-0.448510944
13007,-0.326583932
13009,0.6014501632
13011,0.5758257865
13013,0.5363433573
13015,0.1868146238
13017,0.3579738679
13019,0.6207485193
13021,0.8495010815
13023,0.3891959212
13025,0.0525017063
13027,0.7757951901
13029,-0.077233993
13031,1.0710870258
13033,-0.08924189
13035,-0.122129946
13037,0.3189284006
13039,-0.535465347
13043,0.1849283403
13045,0.4622062364
13047,0.0296384114
13049,6.461175934
13051,1.0508195701
13053,3.5337332031
13055,0.2017308507
13057,0.8465203916
13059,2.5508706998
13061,-0.699545296
13063,1.4549757246
13065,1.2101959005
13067,2.3136621486
13069,-0.023167454
13071,-0.395365438
13073,0.4826394587
13075,0.0
13077,0.7470111067
13079,0.5659309564
13081,0.4890084243
13083,-0.432860279
13085,0.2342148922
13087,-0.151008928
13089,5.0600877161
13091,0.2415575632
13093,-0.147606923
13095,0.5418952787
13097,0.2608394224
13099,0.3907013088
13101,1.7486884836
13103,0.4742183301
13105,-0.104468646
13107,-0.08839193
13109,0.0
13111,-0.191684717
13113,1.4586866548
13115,1.5473730289
13117,1.6997579196
13119,1.1211004032
13121,2.8409682186
13123,-0.032152273
13125,0.0
13127,0.0939700588
13129,0.3979548581
13131,0.0
13133,1.3866932912
13135,2.5198716239
13137,0.0441009471
13139,0.3596245126
13141,0.4754829123
13143,-0.16848348
13145,-0.057309874
13147,-0.076516949
13149,-0.168109607
13151,0.1119992074
13153,0.8998487488
13155,-0.106315118
13157,0.3628700227
13159,-0.070801473
13161,0.5967576169
13163,0.3248229715
13165,1.0320509145
13167,-0.20672903
13169,0.0
13171,1.3144749987
13173,-0.38502262
13175,0.0421576274
13177,0.1004301759
13179,-0.737457084
13181,0.2524296352
13183,0.0517464424
13185,0.9584322786
13187,-0.390924537
13189,-0.513490804
13191,-0.069686411
13193,0.3064312253
13195,0.638419408
13197,-0.35859431
13199,0.0
13201,0.0
13205,0.3636528933
13207,-0.290481291
13209,0.3271537623
13211,0.0524837956
13213,0.5247441872
13215,1.0463201842
13217,0.3345918206
13219,0.1003034178
13221,0.1977652526
13223,0.0300553018
13225,0.400662915
13227,0.0619147125
13229,-0.411808612
13231,0.0
