FIPStxt,year,rate_international_migration
6055,2012,1.4408335113
6057,2012,0.0304819191
6059,2012,2.4121400823
6061,2012,0.6335552637
6063,2012,0.409249028
6065,2012,0.4115433231
6067,2012,2.2934903366
6069,2012,-0.53297328
6071,2012,0.7652976691
6073,2012,4.4819837341
6075,2012,7.4270640902
6077,2012,0.8952994626
6079,2012,0.1980859033
6081,2012,4.8856339195
6083,2012,2.0160158662
6085,2012,7.4621079386
6087,2012,0.1317776046
6089,2012,0.7033080799
6091,2012,0.6488240065
6093,2012,0.2931427154
6095,2012,2.7607127136
6097,2012,0.2680542738
6099,2012,0.5703363443
6101,2012,2.9151273911
6103,2012,-0.205463755
6105,2012,-0.073599764
6107,2012,-0.776297929
6109,2012,0.6602415384
6111,2012,0.6756370915
6113,2012,3.9603473298
6115,2012,2.0514515052
8000,2012,2.1363703132
8001,2012,1.4308267571
8003,2012,-0.063716589
8005,2012,4.3130131217
8007,2012,0.3312217944
8009,2012,0.2666666667
8011,2012,2.1186440678
8013,2012,2.6533140786
8014,2012,1.7687869213
8015,2012,0.5527610414
8017,2012,0.5354752343
8019,2012,2.4405125076
8021,2012,0.6046680372
8023,2012,2.2087244616
8025,2012,2.2909507446
8027,2012,0.0
8029,2012,0.2957704821
8031,2012,3.0023262055
8033,2012,0.0
8035,2012,1.8469157184
8037,2012,1.1879101403
8039,2012,-0.215275984
8041,2012,4.1798227705
8043,2012,1.2284101619
8045,2012,0.354581638
8047,2012,0.184179022
8049,2012,-0.208449138
8051,2012,-0.7180391
8053,2012,0.0
8055,2012,0.0
8057,2012,0.0
8059,2012,1.0412948851
8061,2012,0.0
8063,2012,0.8618566855
8065,2012,-0.959166895
8067,2012,-0.01917233
8069,2012,1.5744504032
8071,2012,0.3328340822
8073,2012,1.2892531541
8075,2012,-0.534128591
8077,2012,-0.13582758
8079,2012,0.0
8081,2012,0.676844401
8083,2012,-0.11775789
8085,2012,-0.367538959
8087,2012,2.2927689594
8089,2012,0.106743522
8091,2012,0.4479283315
8093,2012,0.4983802641
8095,2012,2.7217056022
8097,2012,2.5536113287
8099,2012,0.8024716126
8101,2012,0.2866892071
8103,2012,2.665679378
8105,2012,-0.588754784
8107,2012,2.6223024675
8109,2012,0.6389266033
8111,2012,0.0
8113,2012,1.9909742501
8115,2012,0.4210526316
8117,2012,4.6148384807
8119,2012,-0.341778101
8121,2012,0.2113494663
8123,2012,0.6004306273
8125,2012,0.6919047148
9000,2012,4.4244399492
9001,2012,5.8665696241
9003,2012,4.9816947793
9005,2012,0.8657732736
9007,2012,1.8323849937
9009,2012,4.276696229
9011,2012,4.1818367914
9013,2012,2.3342961212
9015,2012,2.4721774211
10000,2012,1.3299973663
10001,2012,1.9975511948
10003,2012,1.3140011981
10005,2012,0.8230126228
11000,2012,5.3940149387
11001,2012,5.3940149387
12000,2012,5.1512006487
12001,2012,3.7578238131
12003,2012,0.4066393109
12005,2012,2.5138289893
12007,2012,0.4686204535
12009,2012,1.8692873342
12011,2012,6.8382134674
12013,2012,0.3403444286
12015,2012,1.3080688007
12017,2012,0.3800045887
12019,2012,2.1078526575
12021,2012,5.0131694203
12023,2012,0.2662702199
12027,2012,3.2641374374
12029,2012,0.122853896
12031,2012,3.5823866181
12033,2012,4.210184067
12035,2012,1.5926818312
12037,2012,0.7797608733
12039,2012,0.9366983512
12041,2012,0.2950635862
12043,2012,2.8228652082
12045,2012,0.3805416376
12047,2012,0.6822213126
12049,2012,3.1202946139
12051,2012,3.8520600713
12053,2012,0.4919479693
12055,2012,2.064067433
12057,2012,5.3322456888
12059,2012,0.101176173
12061,2012,1.3878158354
12063,2012,0.244135658
12065,2012,-0.208710171
12067,2012,0.2274148616
12069,2012,1.6914089006
12071,2012,3.425210743
12073,2012,2.2349112352
12075,2012,0.5501788081
12077,2012,-0.241472985
12079,2012,0.2624534145
12081,2012,2.7578157011
12083,2012,1.2189282138
12085,2012,0.7208979559
12086,2012,13.740447581
12087,2012,4.7398789446
12089,2012,0.8340788474
12091,2012,4.6236697563
12093,2012,1.5330677691
12095,2012,7.7502752755
12097,2012,12.75743949
12099,2012,5.1246500348
12101,2012,1.4485616403
12103,2012,2.0944548032
12105,2012,3.8599609434
12107,2012,0.0955116354
12109,2012,0.7233055062
12111,2012,2.080422901
12113,2012,1.8985245024
12115,2012,1.324377523
12117,2012,2.3620825072
12119,2012,-0.180320971
12121,2012,0.6444040413
12123,2012,0.5724350506
12125,2012,0.7854174166
12127,2012,1.6508593853
12129,2012,0.1940742658
12131,2012,0.4787573587
12133,2012,0.2030415626
13000,2012,2.1788623052
13001,2012,-0.271414613
13003,2012,0.0
13005,2012,0.0897062122
13007,2012,0.5985335927
13009,2012,0.6107869335
13011,2012,0.1649257834
13013,2012,0.1714542896
13015,2012,0.0698756214
13017,2012,-0.227324392
13019,2012,1.8163890186
13021,2012,1.221161254
13023,2012,0.7700600647
13025,2012,-0.700940878
13027,2012,0.4430519953
13029,2012,3.495072263
13031,2012,1.8526269564
13033,2012,-0.128882588
13035,2012,0.0
13037,2012,1.213040182
13039,2012,4.8005981073
13043,2012,-0.179283761
13045,2012,0.774286486
13047,2012,0.2931714204
13049,2012,-0.671566616
13051,2012,3.077838649
13053,2012,42.683445285
13055,2012,0.0389772373
13057,2012,0.369546621
13059,2012,2.5785318327
13061,2012,-0.95724314
13063,2012,2.2377091926
13065,2012,1.3424821002
13067,2012,2.8613608644
13069,2012,1.0218300046
13071,2012,0.5011712153
13073,2012,2.3264267539
13075,2012,0.1178654566
13077,2012,0.5462231745
13079,2012,0.4768717215
13081,2012,0.4224578598
13083,2012,-0.362340721
13085,2012,-0.267540633
13087,2012,-0.544533788
13089,2012,6.0686244309
13091,2012,-0.04637036
13093,2012,1.79143556
13095,2012,1.0328999721
13097,2012,0.7125151409
13099,2012,0.0933271115
13101,2012,0.7471049682
13103,2012,0.3206881591
13105,2012,-0.304599452
13107,2012,-0.221121528
13109,2012,-1.015790932
13111,2012,-0.338531198
13113,2012,1.678548615
13115,2012,1.0202966148
13117,2012,1.0960777238
13119,2012,0.0911410864
13121,2012,3.5018665167
13123,2012,1.9076890467
13125,2012,0.6441223833
13127,2012,1.3666548637
13129,2012,0.2697671909
13131,2012,-0.873587865
13133,2012,1.1191245959
13135,2012,3.4437058952
13137,2012,-0.185142328
13139,2012,0.2620294729
13141,2012,0.5413012883
13143,2012,-0.105680317
13145,2012,0.5857237542
13147,2012,0.1963479285
13149,2012,-0.171064449
13151,2012,0.896567016
13153,2012,3.0248409887
13155,2012,0.1037721164
13157,2012,-0.049253805
13159,2012,0.2184041934
13161,2012,-0.065897858
13163,2012,0.0
13165,2012,-0.69633842
13167,2012,0.0
13169,2012,0.3137856495
13171,2012,0.5526388505
13173,2012,2.9597097575
13175,2012,0.1880229388
13177,2012,0.6982508815
13179,2012,12.763232015
13181,2012,0.8953696598
13183,2012,4.6972524291
13185,2012,3.0946575039
13187,2012,0.2616816316
13189,2012,-0.462491906
13191,2012,0.0
13193,2012,1.3215093027
13195,2012,0.6400682739
13197,2012,2.4175444655
13199,2012,0.0465842126
13201,2012,0.6625258799
13205,2012,-0.043023706
13207,2012,0.0379384259
13209,2012,0.5581291511
13211,2012,-0.167991936
13213,2012,0.0
13215,2012,6.108016518
13217,2012,0.4965243297
13219,2012,0.3893497859
13221,2012,1.300612657
13223,2012,0.6450628416
13225,2012,1.044085615
13227,2012,0.4433077579
13229,2012,0.5307996497
13231,2012,0.0562508789
13233,2012,1.1653031002
13235,2012,-0.254906959
13237,2012,0.0471998678
13239,2012,-0.411607327
13241,2012,0.4913853997
13243,2012,-0.134453782
13245,2012,3.2164251448
13247,2012,0.7375494626
13249,2012,0.0
13251,2012,0.2099884506
13253,2012,0.0
13255,2012,0.4540650566
13257,2012,-0.466445105
13259,2012,6.7345597898
13261,2012,0.2827965436
13263,2012,0.0
13265,2012,0.0
13267,2012,0.4715220338
13269,2012,-0.119040533
13271,2012,2.3919043238
13273,2012,0.0
13275,2012,0.1795372428
13277,2012,0.0487186982
13279,2012,-0.183948642
13281,2012,0.2837818663
13283,2012,0.4407551605
13285,2012,0.3090257595
13287,2012,-0.575208513
13289,2012,0.2301628402
13291,2012,0.0939408173
13293,2012,-0.112187278
13295,2012,-0.218574457
13297,2012,0.3301789452
13299,2012,0.4157024679
13301,2012,0.0
13303,2012,-0.047893867
13305,2012,-0.032995678
13307,2012,-1.085187195
13309,2012,0.0
13311,2012,0.8359532593
13313,2012,0.0485748149
13315,2012,0.2182691258
13317,2012,0.0
13319,2012,0.0
13321,2012,-0.233312335
15000,2012,7.2930894085
15001,2012,3.7688709334
15003,2012,8.3502541985
15005,2012,0.0
15007,2012,6.3708726631
15009,2012,5.3827277765
16000,2012,0.9587215034
16001,2012,1.2689415448
16003,2012,0.0
16005,2012,1.1589285288
16007,2012,0.1688048616
16009,2012,0.1092955899
16011,2012,-0.525146877
16013,2012,1.9426676143
16015,2012,0.1451800232
16017,2012,-0.049304195
16019,2012,-0.244617245
16021,2012,0.9242144177
16023,2012,-1.072769533
16025,2012,-1.818181818
16027,2012,0.2077447233
16029,2012,1.9096584649
16031,2012,1.9840841942
16033,2012,18.498367791
16035,2012,0.2327205027
16037,2012,0.4623208507
16039,2012,9.5985373657
16041,2012,-0.156201187
16043,2012,0.9971236817
16045,2012,0.6002040694
16047,2012,2.7446495671
16049,2012,-0.121558378
16051,2012,0.302149035
16053,2012,3.7252206306
16055,2012,-0.226135625
16057,2012,1.4746737943
16059,2012,-0.126951885
16061,2012,-0.524521374
16063,2012,3.6559553589
16065,2012,-0.608707159
16067,2012,3.9644193365
16069,2012,0.2026804489
16071,2012,2.3646252069
16073,2012,0.3511081852
16075,2012,-0.442262616
16077,2012,4.6124279308
16079,2012,0.2365464222
16081,2012,4.5351473923
16083,2012,2.6428343441
16085,2012,-0.521593991
16087,2012,-0.495884161
17000,2012,2.1126243128
17001,2012,0.1935243766
17003,2012,0.0
17005,2012,0.5671667187
17007,2012,-1.075408377
17009,2012,0.5808887598
17011,2012,0.4059912712
17013,2012,0.3986446083
17015,2012,0.6589785832
17017,2012,3.0307510349
17019,2012,8.8714087101
17021,2012,0.3756139844
17023,2012,-0.369674378
17025,2012,0.0728889537
17027,2012,-0.026333461
17029,2012,0.4862448804
17031,2012,3.0059858701
17033,2012,0.2540392237
17035,2012,1.3617793917
17037,2012,2.0879726073
17039,2012,0.0
17041,2012,1.0563645967
17043,2012,2.9252812387
17045,2012,-0.109442119
17047,2012,0.1493651979
17049,2012,0.1458938185
17051,2012,0.8082440897
17053,2012,0.0720461095
17055,2012,0.325414904
17057,2012,-0.05442399
17059,2012,0.0
17061,2012,0.4361733062
17063,2012,-0.159586671
17065,2012,0.1189555701
17067,2012,0.1586126679
17069,2012,0.0
17071,2012,-0.280524581
17073,2012,-0.059682489
17075,2012,0.4083924652
17077,2012,4.3370871185
17079,2012,0.8236384227
17081,2012,0.8267986099
17083,2012,0.9651451008
17085,2012,0.3098510502
17087,2012,0.0
17089,2012,0.3346865055
17091,2012,0.6622721232
17093,2012,0.8508465924
17095,2012,0.9904101631
17097,2012,2.8823309409
17099,2012,0.3532773094
17101,2012,0.0594724791
17103,2012,0.1129544652
17105,2012,0.7243002742
17107,2012,0.5607969915
17109,2012,1.4136664669
17111,2012,0.4442758142
17113,2012,3.5736111515
17115,2012,0.5887201225
17117,2012,0.0843944173
17119,2012,0.5328782131
17121,2012,0.2303292429
17123,2012,-0.161642286
17125,2012,0.1389226548
17127,2012,0.263617491
17129,2012,-0.315097089
17131,2012,0.1847347517
17133,2012,-0.210608659
17135,2012,-0.134498991
17137,2012,0.8192321817
17139,2012,0.0672721157
17141,2012,0.1322751323
17143,2012,2.2829890582
17145,2012,0.7708177469
17147,2012,0.1808318264
17149,2012,0.0
17151,2012,0.669867143
17153,2012,0.3347840643
17155,2012,0.3365303719
17157,2012,0.1804511278
17159,2012,0.1856205915
17161,2012,2.6971256637
17163,2012,1.2065614669
17165,2012,0.240862287
17167,2012,1.2448486856
17169,2012,0.0
17171,2012,0.0
17173,2012,0.2248150896
17175,2012,0.0
17177,2012,0.191064548
17179,2012,0.1470712597
17181,2012,0.3966005666
17183,2012,0.1848702211
17185,2012,1.9591141397
17187,2012,2.7539693691
17189,2012,0.0
17191,2012,0.1200588288
17193,2012,0.1374003847
17195,2012,0.0344673078
17197,2012,1.0078456456
17199,2012,0.7040776583
17201,2012,1.2770476298
17203,2012,0.4634337869
18000,2012,1.6138828859
18001,2012,0.2326663564
18003,2012,2.1392929776
18005,2012,4.0224490969
18007,2012,0.5657068507
18009,2012,0.7147395172
18011,2012,0.8892841263
18013,2012,-0.331950207
18015,2012,0.3486489852
18017,2012,2.7546436341
18019,2012,0.8417546106
18021,2012,-0.037296037
18023,2012,0.9708148777
18025,2012,0.0
18027,2012,0.4370492929
18029,2012,-0.180518087
18031,2012,0.9625565502
18033,2012,0.0
18035,2012,1.4387386774
18037,2012,0.9733515342
18039,2012,0.3222176631
18041,2012,0.1247479053
18043,2012,0.1730587468
18045,2012,0.0
18047,2012,0.3906928286
18049,2012,-0.193362821
18051,2012,0.0298280413
18053,2012,0.2307237516
18055,2012,0.2121983752
18057,2012,2.4078937037
18059,2012,-0.042569797
18061,2012,0.2557577463
18063,2012,2.124255592
18065,2012,0.081360345
18067,2012,0.6399574972
18069,2012,0.188816659
18071,2012,2.1652328789
18073,2012,0.179321269
18075,2012,0.0937141251
