FIPStxt,year,rate_natural_increase_population
0,2016,
1000,2016,1.5807124672
1001,2016,2.1615337808
1003,2016,1.3543138306
1005,2016,-0.15358329
1007,2016,1.5503189227
1009,2016,0.869414015
1011,2016,1.2506614075
1013,2016,-1.145019167
1015,2016,-0.807144531
1017,2016,-1.564783514
1019,2016,-3.922330097
1021,2016,1.2333554119
1023,2016,-2.816258182
1025,2016,-0.285492883
1027,2016,-3.133393017
1029,2016,-3.091190108
1031,2016,2.8581216659
1033,2016,-1.322144077
1035,2016,-2.30359838
1037,2016,-6.252011217
1039,2016,-1.281059009
1041,2016,-0.576244328
1043,2016,0.4141013696
1045,2016,3.6059031471
1047,2016,-1.555248346
1049,2016,0.8158040945
1051,2016,1.4190873417
1053,2016,-1.810051107
1055,2016,-1.875124482
1057,2016,-3.247241348
1059,2016,1.0455279916
1061,2016,-3.275294118
1063,2016,-1.294879341
1065,2016,0.4021043461
1067,2016,-3.101864045
1069,2016,2.2832145358
1071,2016,-3.474655174
1073,2016,2.5938864232
1075,2016,-4.523424879
1077,2016,-2.087795591
1079,2016,-0.783580965
1081,2016,6.0672778231
1083,2016,2.733010867
1085,2016,-0.291290417
1087,2016,-3.38930024
1089,2016,3.0463318614
1091,2016,-0.101804484
1093,2016,-3.561976731
1095,2016,2.2878469989
1097,2016,3.0310812424
1099,2016,-1.479255749
1101,2016,4.2028918537
1103,2016,0.5959800724
1105,2016,0.417275193
1107,2016,-1.362497263
1109,2016,2.7180406213
1111,2016,-2.926959067
1113,2016,3.9135598869
1115,2016,1.391988588
1117,2016,4.7734514243
1119,2016,0.1528292515
1121,2016,-1.966848095
1123,2016,-1.798228868
1125,2016,4.1047489124
1127,2016,-2.842489032
1129,2016,-3.347980749
1131,2016,-0.367985281
1133,2016,-3.135648138
2000,2016,9.1943359969
2013,2016,0.593824228
2016,2016,2.96012537
2020,2016,9.5494925991
2050,2016,17.511187703
2060,2016,2.2148394241
2068,2016,7.0210631896
2070,2016,14.862422173
2090,2016,12.093733928
2100,2016,0.0
2105,2016,1.410768869
2110,2016,4.8902763467
2122,2016,4.3264773547
2130,2016,4.8159363713
2150,2016,12.22040371
2158,2016,20.519083969
2164,2016,15.023474178
2170,2016,8.9481969578
2180,2016,14.602950803
2185,2016,9.9579098655
2188,2016,15.3915799
2195,2016,1.8424689083
2198,2016,2.6099639211
2220,2016,2.0554984584
2230,2016,8.1081081081
